timestamp,cpu_percent,mem_usage,mem_limit,net_rx,net_tx,block_read,block_write
2025-12-30T12:48:38.038968,0.0,4169728,8177143808,11001607,11005962,0,0
2025-12-30T12:48:39.047643,0.02,4370432,8177143808,11694792,11699873,0,0
2025-12-30T12:48:40.052597,0.02,4337664,8177143808,12366343,12371490,0,0
2025-12-30T12:48:41.057313,0.02,4165632,8177143808,13059462,13065335,0,0
2025-12-30T12:48:42.060542,0.02,4173824,8177143808,13730617,13737150,0,0
2025-12-30T12:48:43.060663,0.03,4268032,8177143808,14455664,14462135,0,0
2025-12-30T12:48:44.058707,0.02,4251648,8177143808,15127149,15133554,0,0
2025-12-30T12:48:45.059282,0.03,4182016,8177143808,15820598,15827333,0,0
2025-12-30T12:48:46.056840,0.02,4165632,8177143808,16491819,16498686,0,0
2025-12-30T12:48:47.052735,0.02,4227072,8177143808,17185092,17192751,0,0
2025-12-30T12:48:48.051209,0.02,4177920,8177143808,17864945,17872740,0,0
2025-12-30T12:48:49.049429,0.03,4239360,8177143808,18557800,18566387,0,0
2025-12-30T12:48:50.047033,0.02,4222976,8177143808,19229087,19238004,0,0
2025-12-30T12:48:51.041800,0.02,4153344,8177143808,19922140,19931717,0,0
2025-12-30T12:48:52.036705,0.02,4259840,8177143808,20598501,20608222,0,0
2025-12-30T12:48:53.031848,0.02,4202496,8177143808,21319200,21328121,0,0
2025-12-30T12:48:54.025138,0.02,4186112,8177143808,21990553,21999672,0,0
2025-12-30T12:48:55.020010,0.03,4321280,8177143808,22683536,22693319,0,0
2025-12-30T12:48:56.018593,0.02,4304896,8177143808,23354823,23364870,0,0
2025-12-30T12:48:57.010137,0.03,4276224,8177143808,24054298,24065397,0,0
2025-12-30T12:48:58.008307,0.02,4325376,8177143808,24727289,24738264,0,0
2025-12-30T12:48:59.005291,0.03,4321280,8177143808,25420148,25431845,0,0
2025-12-30T12:49:00.002565,0.03,4288512,8177143808,26112835,26125426,0,0
2025-12-30T12:49:00.997254,0.03,4370432,8177143808,26783828,26796647,0,0
2025-12-30T12:49:01.990093,0.04,4341760,8177143808,27508607,27521566,0,0
2025-12-30T12:49:02.982091,0.03,4182016,8177143808,28179832,28193315,0,0
2025-12-30T12:49:04.002799,0.02,4280320,8177143808,28872787,28887226,0,0
2025-12-30T12:49:05.023700,0.03,4300800,8177143808,29544102,29558843,0,0
2025-12-30T12:49:06.036452,0.03,4198400,8177143808,30237193,30252490,0,0
2025-12-30T12:49:07.047489,0.02,4378624,8177143808,30917822,30932831,0,0
2025-12-30T12:49:08.056890,0.03,4403200,8177143808,31614342,31629949,0,0
2025-12-30T12:49:09.065544,0.03,4530176,8177143808,32290520,32306519,0,0
2025-12-30T12:49:10.071386,0.03,4513792,8177143808,32983577,33000100,0,0
2025-12-30T12:49:11.075509,0.02,4505600,8177143808,33654592,33671647,0,0
2025-12-30T12:49:12.079394,0.03,4157440,8177143808,34380373,34397032,0,0
2025-12-30T12:49:13.078638,0.02,4280320,8177143808,35051854,35068715,0,0
2025-12-30T12:49:14.076224,0.04,4345856,8177143808,35746479,35762782,0,0
2025-12-30T12:49:15.075531,0.04,4321280,8177143808,36417766,36434399,0,0
2025-12-30T12:49:16.073938,0.03,4386816,8177143808,37110819,37127716,0,0
